db_rowid,original,formatted_variant,suggested_reference,similarity_score
106852,6 -ой микрорайон,мкр. 6 -ой,6-ой Микрорайон,88.89
107140,Им.Л.Чайкиной,ул. Им.Л.Чайкиной,Л.Чайкиной,86.96
107160,Пижемская,ул. Пижемская,Пермская,82.35
107206,Линия 19-я,ул. Линия 19-я,Линия 1-я,94.74
107214,Проходная,ул. Проходная,Пригородная,80.0
107272,Культурф,ул. Культурф,Культуры,87.5
107465,Дубравная 10-я линия,ул. Дубравная 10-я линия,Дубравная 10 линия,94.74
107505,Лкнская,ул. Лкнская,Лунская,85.71
107560,им Свердлова,ул. Им Свердлова,Свердлова,85.71
107658,мкр.Юго-Восточный,мкр. Юго-Восточный,МКР Восточный,81.82
107742,тер.СНТ Сокол сад №3,СНТ Тер. Сокол сад №3,тер.СНТ Сокол сад№1,90.91
107761,Еременко,ул. Еременко,Ефременко,94.12
108065,1 Оранжерейная,ул. 1 Оранжерейная,1-я Оранжерейная,93.33
108128,Кишнеская,ул. Кишнеская,Кишиневская,90.0
108151,Комбрина Патоличева,ул. Комбрина Патоличева,Комбрига Патоличева,94.74
108332,Им.Кирова,ул. Им.Кирова,Кирова,80.0
108370,Локинская,ул. Локинская,Тонкинская,84.21
108374,Батракова,ул. Батракова,Баранова,82.35
108678,Школьня,ул. Школьня,Школьная,93.33
108972,Линия1,ул. Линия1,Линия 1-я,80.0
109047,Ш.Московскок,ш. Московскок,Московское шоссе,90.0
109192,Юрина,ул. Юрина,Юринова,83.33
109502,Ключево,ул. Ключево,Ключевая,80.0
109646,Федосеенко в/ч,ул. Федосеенко в/ч,Федосеенко,83.33
109711,им.Маршала Малиновского,ул. Им.Маршала Малиновского,Маршала Малиновского,93.02
109982,Е.Пугачева,ул. Е.Пугачева,Пугачева,88.89
110163,Богтырская,ул. Богтырская,Богатырская,95.24
110232,им.маршала Рокоссовского,ул. Им.маршала Рокоссовского,Маршала Рокоссовского,88.89
110313,Костромская,ул. Костромская,Кстовская,80.0
110460,85-я Гвардейская,ул. 85-я Гвардейская,Гвардейская,81.48
110495,Минусинская,ул. Минусинская,Мичуринская,81.82
110611,95-й Гвардейской,ул. 95-й Гвардейской,51-й Гвардейской,93.75
110646,Раевскго,ул. Раевскго,Раевского,94.12
110662,Парышевская,ул. Парышевская,Малышевская,81.82
110709,Домостроителей,ул. Домостроителей,Мостостроителей,82.76
110882,11-я Северная,ул. 11-я Северная,9-я Северная,88.0
111004,пр-кт 70 Октября,пр-кт 70 Октября,пр-т Октября,84.21
111011,Впсилия Иванова,ул. Впсилия Иванова,Василия Иванова,93.33
111066,2-я Экономическая,ул. 2-я Экономическая,1-я Экономическая,94.12
111112,Коасных зорь,ул. Коасных зорь,Красных зорь,91.67
111120,им.Генерала Карбышева,ул. Им.Генерала Карбышева,им.Генерала Клюева,82.05
111149,Центральнгая,ул. Центральнгая,Центральная,95.65
111173,Алексеевка-3,ул. Алексеевка-3,Алексеева,85.71
111232,Лиза Чайкиной,ул. Лиза Чайкиной,Лизы Чайкиной,92.31
111333,3 Коминтерна,ул. 3 Коминтерна,Коминтерна,90.91
111899,Смирновская,ул. Смирновская,Смирнова,84.21
112184,1-я Ленинградскя,ул. 1-я Ленинградскя,Ленинградская,82.76
112285,Димитриева,ул. Димитриева,Димитрова,84.21
112310,им.Крупнова,ул. Им.Крупнова,Крупнова,84.21
112360,Зубриловка,ул. Зубриловка,Зубрилова,94.74
112366,"пос.""Звезда""","пос. ""Звезда""",пос.Звезда,85.71
112481,Ефима Рубиничка,ул. Ефима Рубиничка,Ефима Рубинчика,93.33
112543,Лебедянская,ул. Лебедянская,Лубянская,80.0
112591,тер.СНТ Сокол сад№3,СНТ Тер. Сокол сад№3,тер.СНТ Сокол сад№1,93.75
112641,Теннисная,ул. Теннисная,Тенистая,82.35
112654,Войлочная,ул. Войлочная,Волочильная,80.0
112688,им Крупнова,ул. Им Крупнова,Крупнова,84.21
112834,Озерная4-я,ул. Озерная4-я,Озерная 4-я,95.24
112839,Ст. Разина,ул. Ст. Разина,Ст.Разина,94.74
112857,Лесхоза,ул. Лесхоза,Лесхозская,82.35
112865,Новикова_Прибоя,ул. Новикова_Прибоя,Новикова-Прибоя,93.33
113176,Ст. Грачева,ул. Ст. Грачева,Ст.Грачева,95.24
113250,Новогиреевская,ул. Новогиреевская,Новогорская,80.0
113252,Космическя,ул. Космическя,Космическая,95.24
113331,Кишневская,ул. Кишневская,Кишиневская,95.24
113779,50 лет СССР,ул. 50 лет СССР,50лет СССР,95.24
113792,Школьная 5-я,ул. Школьная 5-я,Школьная,80.0
113843,Пр-ки Кораблестроителей,пр-кт Ки Кораблестроителей,пр кт Кораблестроителей,95.0
113846,Старовская,ул. Старовская,Стахановская,81.82
113889,Им.Беринга,ул. Им.Беринга,Беринга,82.35
113950,Ульяновка,ул. Ульяновка,Ульянова,94.12
113998,оветская,ул. Оветская,Советская,82.35
114080,Кузнецовская,ул. Кузнецовская,Кузнецкая,85.71
114107,Достоевская,ул. Достоевская,Ростовская,85.71
114128,пр-рк Кораблестроителей,пр-кт Рк Кораблестроителей,пр-т Кораблестроителей,92.31
114275,Горюнова,ул. Горюнова,Горбунова,82.35
114287,Куйбышевская,ул. Куйбышевская,Куйбышева,85.71
114313,2-я Школьная,ул. 2-я Школьная,Школьная,80.0
114423,6-я Северная,ул. 6-я Северная,9-я Северная,91.67
114448,Асилия Иванова,ул. Асилия Иванова,Василия Иванова,89.66
114495,имени Маршала Рокссовского,ул. Имени Маршала Рокссовского,Имени Маршала Рокоссовского К.,94.55
114515,Сявская,ул. Сявская,Свирская,80.0
114688,Горовецкая,ул. Горовецкая,Гороховецкая,90.91
114792,Березевская,ул. Березевская,Березовская,90.91
114823,линия-2я,ул. Линия-2я,Линия 2-я,82.35
115256,Имени Героя Давыдова,ул. Имени Героя Давыдова,Им Героя Давыдова,91.89
115655,Каховка,ул. Каховка,Каховская,87.5
115767,Композитора Кастянова,ул. Композитора Кастянова,Композитора Касьянова,95.24
115904,Мересьева,ул. Мересьева,Маресьева,88.89
115957,Крсных зорь,ул. Крсных зорь,Красных зорь,95.65
116298,героя советского союза поющева,ул. Героя советского союза поющева,Героя Советского Союза Поющева,90.0
116310,Гурова,ул. Гурова,Журова,83.33
116582,Озерная1-я,ул. Озерная1-я,Озерная 1-я,95.24
116589,им.Сергея Есенина,ул. Им.Сергея Есенина,Сергея Есенина,90.32
116619,тер.СНТ Сокол Сад 3,СНТ Тер. Сокол Сад 3,тер.СНТ Сокол сад№1,81.25
116886,Нарродная,ул. Нарродная,Народная,94.12
117089,Изюминская,ул. Изюминская,Изюмская,88.89
117154,Героя советского союза Прыгуно,ул. Героя советского союза Прыгуно,Героя Советского Союза Прыгуно,93.33
117325,Пепкинская,ул. Пепкинская,Пушкинская,80.0
117574,ст. Грачева,ул. Ст. Грачева,Ст.Грачева,95.24
117615,б-р Юилейный,б-р Юилейный,Юбилейный б-р,94.12
117688,Лн. 11-я,ул. Лн. 11-я,Лн. 9-я,80.0
117708,Полынковская,ул. Полынковская,Пулковская,81.82
117748,2-я Комфортная,ул. 2-я Комфортная,1-я Комфортная,92.86
117761,пр. кап. Рачкова,пр-кт Кап. Рачкова,пр.кап.Рачкова,95.65
117914,пер.Вокзальный,пер. Вокзальный,пер.Вольный,82.35
117999,Вороштлова,ул. Вороштлова,Ворошилова,90.0
118016,Героя Космоса,ул. Героя Космоса,Гер Космоса,91.67
118029,Ефима Рубинчикова,ул. Ефима Рубинчикова,Ефима Рубинчика,93.75
118030,Композитарская,ул. Композитарская,Композиторская,92.86
118036,пр-д Бупнаковский,пр-кт Д Бупнаковский,пр-д Бурнаковский,92.86
118084,Лесорубов,ул. Лесорубов,Лесоруба,82.35
118114,пгт Торфосклад,ул. Пгт Торфосклад,ПГТ Торфосклад,85.71
118117,Почаинский Овраг,ул. Почаинский Овраг,Почаинский овраг,93.75
118171,50 лет октября,ул. 50 лет октября,50 лет Октября,92.86
118212,Куйбышевс,ул. Куйбышевс,Куйбышева,88.89
118227,Коминтерн,ул. Коминтерн,Коминтерна,94.74
118271,Гордеевскя,ул. Гордеевскя,Гордеевская,95.24
118280,б-р Юбилейзый,б-р Юбилейзый,Юбилейный б-р,88.89
118344,пр-кт Кораблестроителей пр-т,пр-кт Кораблестроителей -т,пр-кт Кораблестроителей,91.89
118370,линия 14-я,ул. Линия 14-я,Линия 1-я,94.74
118404,Наб. Ваожская,наб. Ваожская,Волжская Набережная,87.5
118427,Поповка,ул. Поповка,Попова,92.31
118464,Косонавтов,ул. Косонавтов,Космонавтов,95.24
118492,пер. Комчатсий,пер. Комчатсий,пер.Камчатский,84.21
118508,Комитеткая,ул. Комитеткая,Комитетская,95.24
118700,Гугеля,ул. Гугеля,Гаугеля,92.31
118783,Дмитровская,ул. Дмитровская,Кировская,80.0
119030,Максима Горькова,ул. Максима Горькова,Максима Горького,87.5
119072,Вандышевская,ул. Вандышевская,Ландышевая,81.82
119081,тер. СНТ Сокол сад №1,СНТ Тер.  Сокол сад №1,тер.СНТ Сокол сад№1,94.12
119097,Поедная,ул. Поедная,Победная,93.33
119155,Железнодорожников,ул. Железнодорожников,Железнодорожная,81.25
119163,Лядов,ул. Лядов,Лядова,90.91
119166,Ив.Чугунова,ул. Ив.Чугунова,Чугунова,84.21
119179,Кооператтвная,ул. Кооператтвная,Кооперативная,92.31
119373,Курыжева,ул. Курыжева,Курыжова,87.5
119386,Жарова,ул. Жарова,Журова,83.33
119399,Сободы,ул. Сободы,Свободы,92.31
119424,Шоссейня,ул. Шоссейня,Шоссейная,94.12
119472,8 Мата,ул. 8 Мата,8 Марта,92.31
119516,Динмическая,ул. Динмическая,Динамическая,95.65
119553,Куйышева,ул. Куйышева,Куйбышева,94.12
119555,Евгений Никонова,ул. Евгений Никонова,Евгения Никонова,93.75
119609,наб. им Федоровского,наб. Им Федоровского,Наб.Федоровского,88.89
119681,Симонова,ул. Симонова,Ситнова,80.0
119721,Волжкий Рейд,ул. Волжкий Рейд,Волжский рейд,88.0
119770,Кузнечиха,ул. Кузнечиха,дер.Кузнечиха,81.82
119835,Подворников,ул. Подворников,Подводников,90.91
119909,Мироновка,ул. Мироновка,Мирошникова,80.0
119942,Сосновская,ул. Сосновская,Сосновая,88.89
120028,имени Героя Давыдова,ул. Имени Героя Давыдова,Им Героя Давыдова,91.89
120090,Нагатинская,ул. Нагатинская,Нагулинская,81.82
120187,Вишенская,ул. Вишенская,Воинская,82.35
120226,Теоеграфная,ул. Теоеграфная,Телеграфная,90.91
120298,Борунская,ул. Борунская,Борская,87.5
120318,Ильинка,ул. Ильинка,Ильинская,87.5
120324,Нагорная 2-я,ул. Нагорная 2-я,Нагорная,80.0
120340,Митинская,ул. Митинская,Читинская,88.89
120358,Жаркова,ул. Жаркова,Парковая,80.0
120393,Садовя,ул. Садовя,Садовая,92.31
120395,Амурская,ул. Амурская,Курская,80.0
120459,Сосинская,ул. Сосинская,Воинская,82.35
120489,Союный пр,пр-кт Союный,пр-кт Союзный,92.31
120540,Саратовская,ул. Саратовская,Мартовская,85.71
120577,Сутягино,ул. Сутягино,Сутягина,87.5
120682,Сенявина,ул. Сенявина,Синявина,87.5
120722,Озерная 6-линия,ул. Озерная 6-линия,Озерная 6 линия,93.33
120793,Прудская,ул. Прудская,Пырская,80.0
120848,Болтоная,ул. Болтоная,Болотная,87.5
120868,пр-д Ярмарочная,пр-кт Д Ярмарочная,пр-д Ярмарочный,83.33
121124,Алексанжра Люкина,ул. Алексанжра Люкина,Александра Люкина,94.12
121188,СНТ Сокол сад №4,СНТ Сокол сад №4,снт Сокол сад 1,86.96
121218,Новая стройка,ул. Новая стройка,Новая Стройка,92.31
121234,Покровская,ул. Покровская,Б.Покровская,90.91
121238,Топольчанская,ул. Топольчанская,Топольная,81.82
121265,Нагорня,ул. Нагорня,Нагорная,93.33
121299,пр-кт Муррукова,пр-кт Муррукова,пр.Музрукова,88.89
121461,Даурская,ул. Даурская,Карская,80.0
121462,Ставропольский,ул. Ставропольский,Ставропольская,85.71
121637,40 лет октября,ул. 40 лет октября,40 лет Октября,92.86
121716,Чемская,ул. Чемская,Пермская,80.0
121938,ИМ. Генерала Ивлиева И.Д.,д. ИМ. Генерала Ивлиева И,Им.Генерала Ивлиева И.Д.,93.02
121974,3-я Профсоюзная,ул. 3-я Профсоюзная,Профсоюзная,84.62
122035,С.Лазо,ул. С.Лазо,Лазо,80.0
122074,Моссковское Шоссе,ш. Моссковское,Московское шоссе,95.24
122088,Кедровая,ул. Кедровая,Кадровая,87.5
122115,Малкина,ул. Малкина,Галкина,85.71
122333,ИМ Генерала Клюева,ул. ИМ Генерала Клюева,Им Генерала Клюева,94.44
122550,Комуны,ул. Комуны,Коммуны,92.31
122568,Трудовая 1-я,ул. Трудовая 1-я,Трудовая,80.0
122578,Станкостроителей,ул. Станкостроителей,Машиностроителей,81.25
122804,Мурзинская,ул. Мурзинская,Мичуринская,85.71
122828,Б Панина,ул. Б Панина,Б. Панина,94.12
123007,Социалистический,ул. Социалистический,Социалистическая,87.5
123009,Гидростроителей,ул. Гидростроителей,Гидростроительная,81.25
123024,Яранская,ул. Яранская,Ядринская,82.35
123123,Серовская,ул. Серовская,Серпуховская,85.71
123222,Беланова,ул. Беланова,Белова,85.71
123324,К. Иванова,ул. К. Иванова,В. Иванова,90.0
123695,Моссковское Ш.,ш. Моссковское,Московское шоссе,95.24
123737,им.Менделеева,ул. Им.Менделеева,Менделеева,86.96
123822,Талинская,ул. Талинская,Таллинская,94.74
123827,Комсомольская 2-я,ул. Комсомольская 2-я,Комсомольская,86.67
123868,пр-кт Ггероев,пр-кт Ггероев,пр-кт Героев,92.31
123885,тер.снт Сокол сад№3,СНТ Тер. Сокол сад№3,тер.СНТ Сокол сад№1,93.75
123921,9Северная,ул. 9Северная,Северная,94.12
123922,Красноводская,ул. Красноводская,Красногорская,84.62
123971,Федосеенко в\ч,ул. Федосеенко в\ч,Федосеенко,83.33
123989,пер. Запрудный,пер. Запрудный,пер.Западный,82.35
124055,Альхова,ул. Альхова,Ольховая,80.0
124144,б-р Юбиейный,б-р Юбиейный,Юбилейный б-р,94.12
124256,пр Созный,пр-кт Созный,пр-кт Союзный,92.31
124299,Держинского,ул. Держинского,Дзержинского,95.65
124311,перНадежды,ул. ПерНадежды,Надежды,82.35
124490,Биробижданская,ул. Биробижданская,Биробиджанская,92.86
124528,Льнозавод,ул. Льнозавод,Ленозавод,88.89
124565,Гл. Успенкского,ул. Гл. Успенкского,Гл.Успенского,92.86
124587,7-я Изумрудная,ул. 7-я Изумрудная,Изумрудная,83.33
124804,ИМ. Генерала Клюева,ул. ИМ. Генерала Клюева,Им. Генерала Клюева,94.74
124838,Коминерна,ул. Коминерна,Коминтерна,94.74
124848,Гвардецйцев,ул. Гвардецйцев,Гвардейцев,95.24
124919,Комбр. Батоличева,ул. Комбр. Батоличева,Комбрига Патоличева,83.33
125142,Ноаосоветская,ул. Ноаосоветская,Новосоветская,92.31
125205,Александра Перова,ул. Александра Перова,Александра Матросова,81.08
125224,Линда 27,ул. Линда 27,Линда-27,87.5
125269,Успенского,ул. Успенского,Гл.Успенского,86.96
125280,2-я Прокатная,ул. 2-я Прокатная,Прокатная,81.82
125289,Андрева,ул. Андрева,Андреева,93.33
125314,Ивачевская,ул. Ивачевская,Ивановская,80.0
125343,Вахтангово,ул. Вахтангово,Вахтангова,90.0
125358,пер. Керамическая,пер. Керамическая,пер.Керамический,83.33
